path,tracked_status,ignored_status,file_type,extension,size_bytes,sha256,lfs_tracked,referenced_by_count,referenced_by,producer,consumer,classification,proposed_action,justification,risk_level,immutable,content_may_change,notes
output/rm2_comment_similarity/comment_similarity_threshold_manual_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,27402,cfea8441014d074e0b67e90f5505cf6d737bd57467c621a94a088618e5949221,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/exact_duplicate_comment_group_members.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1198336,2abd4e43930e6878ee97e150ebe790334736c615ea5d5afe94b16f35313a6800,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/exact_duplicate_comment_groups.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,340537,018ea6b48d3cb365bace96b93131f8722313d402d00cf2117ab1ce7ebc3b8d20,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/near_similar_comment_cluster_members.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1736774,ac2cd03697304735c5cce2825ca8804286b0fc621d49f0bfcfc522a543773c49,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/near_similar_comment_clusters.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,222741,d1cfe5e071dfec07d418cb72ec0aa5a290e571277f0ad1f0b177e8d48bc397f1,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/presentation/ppt_comment_similarity_example_members.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,23205,77e50733a8da7b3e51541d745bd28add6d8ede3c3b3dde60558741fbfb2de5f3,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/presentation/ppt_comment_similarity_examples.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,19007,3628cfe1f4af9bbc7f7964fd7fcacf4e3bac79d49a0e15020be84e3e94c774d0,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/presentation/ppt_comment_similarity_examples.md,tracked,not_ignored,unknown,.md,13770,70d614ee0e9a42708aebc77729529beee2f9815931e9dadbd2215139a406b46f,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_comment_similarity/presentation/ppt_comment_similarity_manual_review.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,5006,1805e2b36cb531b25d1cd8d9df16e75ffe5f455e6b8799610c711e4ad09c9527,False,1,README.md,comment similarity script,presentation / evidence package,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/FINAL_SENTIMENT_ANALYSIS_INTEGRITY.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,880,e04c8725134efd0dcb5d90e31dc8717de0f5c5c583526f6d68d13f0a802744f8,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/FINAL_SENTIMENT_ANALYSIS_MANIFEST.json,tracked,not_ignored,application/json,.json,1357,beed4dc304ca71ad8fb6069ec34b71103844f7b5806c4814cf14d592b7bfe040,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/FINAL_SENTIMENT_ANALYSIS_REPORT.md,tracked,not_ignored,unknown,.md,8498,d5334c12e7c7553ffa9d0387c65e736de87d535b6dfc1907efdb2117f5a6ac35,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/FINAL_SENTIMENT_ANALYSIS_SUMMARY.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,337,273e16b0442ffdec60ac3ef463c03667cb17fbe114d3ed72363e65bd4ca87cb3,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/comment_sentiment_v2_injected_diagnostic.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,703192,a8127f75cce8733085f5b937ec9fae654ab31b3124bebd5037f394f2bcc72808,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/comment_sentiment_v2_observational.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,29422151,64b4fdacb9c623798035b5ed024e050d7e73de2a2260a7a8fcede5a4032b20d6,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/gephi/gephi_hcc_edges_sentiment_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,31340,5f41376b5f2a262fbf077f54b1914584824055934242f8c92efcae46dd0a2213,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/gephi/gephi_hcc_nodes_sentiment_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,76987,267232d9f571a405cac6495d3ac52573c810255525b8aa2ca305de24bd4e4dc0,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/gephi/gephi_lcn_nodes_actor_type_sentiment_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,218599,335a5dc934d87204a5f41cb758a6928849488a5f33db21620d14c0614a3ecb76,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/presentation/sentiment_presentation_summary.md,tracked,not_ignored,unknown,.md,752,8201e40762254fc195d290be708dd979c2a26a693c6895a1f78b31d264fa9db3,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/presentation/sentiment_presentation_tables.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,4465,e8e06b4c20a25b09a60b71892a746cb9d150155643458f7d62438ff8600e81ca,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/sentiment_v2_inference_manifest.json,tracked,not_ignored,application/json,.json,1324,21a4af5a2314883ad722f4387788c287a22c174f3261ed2b0880e61fca159746,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/account_sentiment_summary_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1861864,be4834580cfda36d1ab818be4fd230ac33ca739e8b826a4a73a89d6a44da1c97,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/brand_sentiment_summary_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2010,a5e9f3042106e1484fabe1625c0f4cd5578b892bf212de541febbbcb82c49e46,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/hcc_sentiment_goals_summary_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,20863,250d18df63679742c8b8e6e8baafc9e8c62d94c7303d336cb7d5e5046baf9c8e,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/hcc_vs_nonhcc_account_sentiment_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,893,bc8bb4c650064f1f28c5649abd68f80613e271bc51873bebc2263873d23f3cb3,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/hcc_vs_nonhcc_comment_sentiment_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1137,0c78929991cb7568e7535273b6cd360643b3e2e5b9bc836e9c2f84350014947d,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/legacy_v1_to_final_v2_transition_matrix.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,198,5768b438f59ac66bd726597f7b2f7320098aa44d4c16ec714efdda97b5a97f1b,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/legacy_v1_vs_final_v2_hcc_goal_changes.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2092,8f6fd3c56c57ca6082be2d37b161f1e8e3c23162c8832057777083933771bc9e,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/legacy_v1_vs_final_v2_sentiment_comparison.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,765,2c6e95d8a4d0c3bab7065476a8e2ac3e14d2c8f3436dc5d8bfb63ae4f22ecf7f,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/sentiment_distribution_observational.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,599,8c793e5c102c6e1e9242d9abdd08b829d03c92ca643ec1b52341b99b7fe52e31,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/final_v2/tables/sentiment_input_integrity_summary.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,156,d24b1f64d3783a88929f7dd98c52eeb45d3d4db39ed2d0961d70486fa89c3a1b,False,0,,Sentiment V2 final pipeline,final report / downstream reading,FROZEN_RESEARCH_ARTIFACT,Keep,Classified from path pattern as FROZEN_RESEARCH_ARTIFACT.,HIGH,True,False,
output/rm2_sentiment/gephi/gephi_hcc_edges_sentiment.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,31340,5f41376b5f2a262fbf077f54b1914584824055934242f8c92efcae46dd0a2213,False,0,,legacy Sentiment V1 pipeline,legacy comparison and report,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,Classified from path pattern as LEGACY_REQUIRED_FOR_REPRODUCIBILITY.,MEDIUM,True,False,
output/rm2_sentiment/gephi/gephi_hcc_nodes_sentiment.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,74466,9274c202d2bd9c0eb3696953a36f49caad82a506a7a23c1ab5dea3ecb67915bd,False,0,,legacy Sentiment V1 pipeline,legacy comparison and report,LEGACY_REQUIRED_FOR_REPRODUCIBILITY,Keep,Classified from path pattern as LEGACY_REQUIRED_FOR_REPRODUCIBILITY.,MEDIUM,True,False,
output/rm2_sentiment/human_validation/README_HUMAN_VALIDATION.md,tracked,not_ignored,unknown,.md,705,3932638612c9697fa851b709ef3f4e4752c32a26bf497750a544c1e236d4180f,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/human_validation_metrics.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,581,f3f4a657cc738d569c2d1580d38c97afdb678258cc8ab789b0fbb0f4ad0b8e9b,False,1,scripts/validate_rm2_sentiment_human_annotations.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/human_validation_status.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,581,f3f4a657cc738d569c2d1580d38c97afdb678258cc8ab789b0fbb0f4ad0b8e9b,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/sentiment_human_annotation_blind.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,94324,2e4ad96920388e0e66ef17587fbf912c3b953dd738fd6485b85e66922d96da74,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/sentiment_human_annotation_codebook.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,561,a0e74c221f505952f5ded81711eb84e26dffa465815396b71cfffcc18a58d716,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/sentiment_human_annotation_guideline.md,tracked,not_ignored,unknown,.md,667,e346cceaf9e269852e5f5cba5ff24182f7600400cc93dee011f544842084c86d,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/sentiment_human_annotation_validated.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,342330,e61e96a5111626bda3fa0d27b8eca3471faa0c7f97779e31d0b524b690abf559,False,5,output/rm2_sentiment/human_validation_v2/README_HUMAN_VALIDATION_V2.md; scripts/build_rm2_sentiment_v2_annotation_package.py; scripts/train_rm2_sentiment_v2_development_model.py; scripts/validate_rm2_sentiment_human_annotations_v2.py; scripts/validate_rm2_sentiment_v2_annotations_and_readiness.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation/sentiment_human_validation_template.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,94324,2e4ad96920388e0e66ef17587fbf912c3b953dd738fd6485b85e66922d96da74,False,1,scripts/validate_rm2_sentiment_human_annotations.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/README_HUMAN_VALIDATION_V2.md,tracked,not_ignored,unknown,.md,1331,3c14d2c7ae23f2a97b2a9f075d11f99fb55a3bc993b2ad708b359aa94f3f17e8,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/annotation_provenance_v2.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,116068,30bb573f12bbda9ae92aa3c3e425683ea5d4a24d59624ca1b68272b23ecdbc9a,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_checksum.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,164,e96a611aca66c3d7ce452f204640dd48d08442143be3c54ad313b724ec4274a9,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_manifest.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,24583,f99164ee1b6b78e6a91aadbf85621d8f84e1cfeac7fb08a43c4bfdac84c01123,False,1,scripts/train_rm2_sentiment_v2_development_model.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_observational_final.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,257637,663a69964d57ccd9dc4e05ec091a30fb6b1f3e12d0ecb271ba56ba70603bbfc8,False,1,README.md,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_observational_final_checksum.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,159,0f4d2a2876aa949bc95573ce984e14b45454c4129ee34ce9c971965a9b1c841f,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_observational_final_integrity.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,4598,8ca991b20e617744e24f4b7d7367789b8f5eb585bb9a6592e5d47fa535006469,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/locked_test_v2_observational_final_manifest.json,tracked,not_ignored,application/json,.json,12198,0bbfdbabe90eb7f74d6b5f4c11f7ed0887bd2dc2c0384262baa8231738aa393c,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_combined_training_provenance.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,167891,ec87ecb59fe332f84ef2a4bf2af705a80cd3d22a9e37cf3256e601f466057261,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_human_annotation_v2_codebook.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,2273,92b92b65b5e177ffb53f91ce9ac75621c505b0248e222fc20aa3876045d3dca1,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_human_annotation_v2_guideline.md,tracked,not_ignored,unknown,.md,4822,5351303fe6c0e435b31439f0fae430de09995812cb8a97c1bdf7a9a552f4ffa3,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_human_annotation_v2_provenance.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,448560,e69ea206df8569cfe51d7bfe5e822bf3431dcb8743e92fd9fefaa1f6c443a31b,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_human_annotation_v2_validated.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,390451,f85142364dc89d555cc01920d46e4e05e62257dee724c51df89798f690de469e,False,2,README.md; scripts/train_rm2_sentiment_v2_development_model.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v1_duplicate_id_audit.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,68,88d23e60f9db8b514580a1363dcaab973d9c50f49bbebe977008ef68d10670e0,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_adjudication_template.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,95637,b22f345028fe54e4da91761e05f7e308a848b07c039e8cec118c9ee209fa3563,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_adjudication_template_final.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,328024,fa9a90387ef58e272c720f4bb074ac07442cf34a8c295a1c54741cfbc8933979,False,1,scripts/train_rm2_sentiment_v2_development_model.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_annotation_validation_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,3848,594a85bbfb3bc8483cf39f612bc970746282442bc73de76adf763616000709a5,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_annotator_1_blind.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,90592,d3b51ea520994b189bbd0ce631f85072b260c27e020d559ca262a2d9337b35b1,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_annotator_1_blind_final.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,164755,d95d5d6d6e15893d59e8279be373b4e7a8922d5c02093f5bfa8cf7812bed4bc2,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_annotator_2_blind.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,90592,d3b51ea520994b189bbd0ce631f85072b260c27e020d559ca262a2d9337b35b1,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_annotator_2_blind_final.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,166939,32d8e61762398cbbdaac6266c5039bf0826963e7604ab5d98cc522b323de7b7f,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_challenge_set.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,11967,e00b71c447272c4c298a7904352d76105dc493c2246a852bd40621bc6f61b393,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_final_label_distribution.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,1984,94e689516db93e64293911ef0cdcbc6680c15f313ea6cfc32a6987eb98138d7e,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_integrity_report.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,679,c563c6082607af06a32453bcf0defb400c0e6d5c5575cbdf71a912409a4c4797,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_inter_annotator_agreement.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,10897,99651da40a2ec58164bdc4ccdff62d79e327e9d6b01ea979458a213ee3bda2b8,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_locked_test_readiness.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,607,dd49fff93c658a440a2de36b944bdd8fa69420b2a32c648dbea4892d4e9a57d2,False,2,scripts/build_rm2_community_mass_account_network.py; scripts/build_rm2_community_mass_direct_interactions.py,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
output/rm2_sentiment/human_validation_v2/sentiment_v2_locked_test_replacement_adjudication_template.csv,tracked,not_ignored,application/vnd.ms-excel,.csv,4862,d672c6d2642e9d05e88d9b338f9cd5ebcb77368e4851beab95c4b0bdacbe7c88,False,0,,human validation / model development,Sentiment V2 reproducibility,DEVELOPMENT_PROVENANCE,Keep,Classified from path pattern as DEVELOPMENT_PROVENANCE.,HIGH,True,False,
